Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
14,Fri,2022-06-24,21:30,Internacional,2.5,3–0,1.0,Coritiba,13454,Estádio José Pinheiro Borba,Jefferson Ferreira de Moraes,Match Report,
14,Sun,2022-06-26,16:00,Avaí,1.1,2–2,2.5,Palmeiras,15233,Estádio Aderbal Ramos da Silva,Wagner do Nascimento Magalhães,Match Report,
14,Sun,2022-06-26,16:00,Botafogo (RJ),0.7,0–1,0.8,Fluminense,29791,Estádio Nilton Santos,Anderson Daronco,Match Report,
14,Sun,2022-06-26,18:00,Ceará,0.8,1–1,0.7,Atl Goianiense,21374,Estádio Castelão,Douglas Marques das Flores,Match Report,
14,Sun,2022-06-26,18:00,Goiás,0.9,1–0,1.1,Cuiabá,8871,Estádio de Hailé Pinheiro,Rodolpho Toski Marques,Match Report,
14,Sun,2022-06-26,18:00,São Paulo,2.4,0–0,0.1,Juventude,20466,Estádio do Morumbi,André Luiz de Freitas Castro,Match Report,
14,Sat,2022-06-25,21:00,Atlético Mineiro,1.0,3–2,0.8,Fortaleza,30003,Estádio Governador Magalhães Pinto,Jean Pierre Goncalves Lima,Match Report,
,,,,,,,,,,,,,
15,Sat,2022-07-02,16:30,Fluminense,2.3,4–0,0.3,Corinthians,44782,Estadio Jornalista Mário Filho,Wilton Sampaio,Match Report,
15,Sat,2022-07-02,16:30,Juventude,0.9,1–2,2.0,Atlético Mineiro,6565,Estádio Alfredo Jaconi,Flavio Rodrigues De Souza,Match Report,
15,Sat,2022-07-02,19:00,Ceará,1.1,1–1,1.5,Internacional,23283,Estádio Castelão,Rodolpho Toski Marques,Match Report,
15,Sat,2022-07-02,19:00,Santos,0.7,1–2,2.8,Flamengo,12464,Estádio Urbano Caldeira,Anderson Daronco,Match Report,
15,Sun,2022-07-03,11:00,Avaí,1.1,1–2,1.4,Cuiabá,13103,Estádio Aderbal Ramos da Silva,Jean Pierre Goncalves Lima,Match Report,
15,Sun,2022-07-03,16:00,Atl Goianiense,1.4,1–2,1.7,São Paulo,12089,Estádio Antônio Accioly,Wagner do Nascimento Magalhães,Match Report,
15,Sun,2022-07-03,18:00,Coritiba,1.0,2–1,1.6,Fortaleza,18655,Estádio Major Antônio Couto Pereira,Felipe Fernandes de Lima,Match Report,
15,Sun,2022-07-03,18:00,América (MG),1.4,1–0,1.1,Goiás,2339,Estádio Raimundo Sampaio,Caio Max Augusto Vieira,Match Report,
15,Sat,2022-07-02,21:00,Palmeiras,3.8,0–2,2.0,Atl Paranaense,39192,Allianz Parque,Braulio da Silva Machado,Match Report,
15,Mon,2022-07-04,20:00,Bragantino,1.9,0–1,1.0,Botafogo (RJ),4509,Estádio Nabi Abi Chedid,Ramon Abatti Abel,Match Report,
,,,,,,,,,,,,,
16,Sat,2022-07-09,16:30,Bragantino,4.1,4–0,0.4,Avaí,3162,Estádio Nabi Abi Chedid,Marcelo de Lima Henrique,Match Report,
16,Sat,2022-07-09,19:00,Fluminense,1.5,2–1,1.8,Ceará,63707,Estadio Jornalista Mário Filho,Luiz Flávio de Oliveira,Match Report,
16,Sat,2022-07-09,20:30,Goiás,1.0,2–1,2.4,Atl Paranaense,9044,Estádio de Hailé Pinheiro,Raphael Claus,Match Report,
16,Sun,2022-07-10,11:00,Coritiba,1.7,2–2,2.2,Juventude,20295,Estádio Major Antônio Couto Pereira,Bruno Arleu de Araujo,Match Report,
16,Sun,2022-07-10,16:00,Corinthians,0.8,1–0,0.6,Flamengo,44055,Neo Química Arena,Ramon Abatti Abel,Match Report,
16,Sun,2022-07-10,18:00,Fortaleza,1.0,0–0,1.1,Palmeiras,24888,Estádio Castelão,Wilton Sampaio,Match Report,
16,Sun,2022-07-10,18:00,Atlético Mineiro,0.7,0–0,0.3,São Paulo,52356,Estádio Governador Magalhães Pinto,Anderson Daronco,Match Report,
16,Sun,2022-07-10,18:00 (19:00),Cuiabá,1.2,2–0,0.2,Botafogo (RJ),14719,Arena Pantanal,Jefferson Ferreira de Moraes,Match Report,
16,Sun,2022-07-10,18:00,Santos,1.2,1–0,1.0,Atl Goianiense,8588,Estádio Urbano Caldeira,Braulio da Silva Machado,Match Report,
16,Mon,2022-07-11,20:00,Internacional,1.8,1–0,0.5,América (MG),19023,Estádio José Pinheiro Borba,Flavio Rodrigues De Souza,Match Report,
,,,,,,,,,,,,,
17,Sat,2022-07-16,16:30,Atl Paranaense,2.4,0–0,1.6,Internacional,21402,Estádio Joaquim Américo Guimarães,Ramon Abatti Abel,Match Report,
17,Sat,2022-07-16,19:00,Avaí,1.9,1–0,0.5,Santos,8674,Estádio Aderbal Ramos da Silva,Paulo Roberto Alves Júnior,Match Report,
