Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
68,Guilherme Biro,br BRA,FW,Corinthians,17,2004,2,1,108,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,0,3,6,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.02,0.13,Matches,e38c2c76
69,Guilherme Biro,br BRA,DF,Coritiba,21,2000,14,10,741,8.2,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,10,23,25,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,02c7236e
70,Guilherme Bissoli,br BRA,FW,Avaí,24,1998,32,29,2443,27.1,14,0,14,5,9,9,6,0,11.6,4.5,1.0,5.5,17,39,145,0.52,0.00,0.52,0.18,0.18,0.43,0.04,0.47,0.17,0.20,Matches,c9024e62
71,Marcelo Boeck,br BRA,GK,Fortaleza,37,1984,13,13,1170,13.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,069cb4f8
72,Vinícius Boff,br BRA,MF,Cuiabá,22,1999,1,0,10,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,9.00,9.00,0.00,9.00,0.00,0.24,0.24,0.00,0.24,Matches,badaed00
73,Ângelo Borges,br BRA,FWMF,Santos,17,2004,27,16,1532,17.0,1,7,8,1,0,0,5,0,1.6,1.6,3.9,5.5,117,83,137,0.06,0.41,0.47,0.06,0.47,0.09,0.23,0.32,0.09,0.32,Matches,737945d9
74,Daniel Borges,br BRA,DF,Botafogo (RJ),28,1993,26,22,1868,20.8,1,3,4,1,0,0,4,1,0.6,0.6,3.1,3.8,31,90,51,0.05,0.14,0.19,0.05,0.19,0.03,0.15,0.18,0.03,0.18,Matches,71879f82
75,Douglas Borges,br BRA,GK,Botafogo (RJ),31,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,55196057
76,Marllon Borges,br BRA,DF,Cuiabá,29,1992,34,34,3005,33.4,0,1,1,0,0,0,3,0,2.4,2.4,0.6,3.0,7,87,3,0.00,0.03,0.03,0.00,0.03,0.07,0.02,0.09,0.07,0.09,Matches,d0b29bbd
77,Gabriel Boschilia,br BRA,MFFW,Internacional,25,1996,4,0,56,0.6,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,2,11,3,0.00,1.61,1.61,0.00,1.61,0.04,0.64,0.68,0.04,0.68,Matches,e90af77c
78,Gabriel Boschilia,br BRA,MF,Coritiba,25,1996,8,7,475,5.3,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,4,16,12,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.15,0.08,0.15,Matches,e90af77c
79,Lucas Braga,br BRA,FWMF,Santos,25,1996,33,22,2078,23.1,5,1,6,5,0,0,3,0,4.8,4.8,1.4,6.2,110,65,175,0.22,0.04,0.26,0.22,0.26,0.21,0.06,0.27,0.21,0.27,Matches,8a0a73ad
80,David Braz,br BRA,DF,Fluminense,34,1987,13,10,708,7.9,1,0,1,1,0,0,4,3,0.5,0.5,0.0,0.5,5,22,1,0.13,0.00,0.13,0.13,0.13,0.06,0.01,0.06,0.06,0.06,Matches,9313b408
81,Breno,br BRA,FW,Palmeiras,26,1996,23,1,329,3.7,1,0,1,1,0,0,2,0,1.0,1.0,0.3,1.2,22,15,40,0.27,0.00,0.27,0.27,0.27,0.27,0.07,0.34,0.27,0.34,Matches,e0016d00
82,Bressan,br BRA,DF,Avaí,29,1993,21,21,1851,20.6,0,0,0,0,0,0,5,0,0.6,0.6,0.1,0.6,10,46,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,3db1684c
